origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Whitnash	United Kingdom	52.268	-1.524		Villebon-sur-Yvette	48.7	2.2277777777778	10344	France	477	EU
Hebden Royd	United Kingdom	53.712963888889	-2.0019138888889		Saint-Pol-sur-Ternoise	50.379166666667	2.3347222222222	5081	France	475	EU
Milford Haven	United Kingdom	51.714180555556	-5.0427388888889		Romilly-sur-Seine	48.515833333333	3.7266666666667	14352	France	719	EU
Todmorden	United Kingdom	53.713	-2.096		Roncq	50.753611111111	3.1202777777778	13524	France	484	EU
Mossley	United Kingdom	53.5147	-2.0387		Hem	50.655277777778	3.1877777777778	18721	France	478	EU
Chigwell	United Kingdom	51.6225	0.072269444444444		Mantes-la-Ville	48.974166666667	1.7108333333333	20251	France	317	EU
Marlow	United Kingdom	51.566666666667	-0.76666666666667		Marly-le-Roi	48.866944444444	2.0941666666667	16485	France	363	EU
Abergavenny	United Kingdom	51.833055555556	-3.0172222222222		Beaupréau	47.201944444444	-0.99444444444444	6909	France	535	EU
St Neots	United Kingdom	52.23	-0.26		Faches-Thumesnil	50.598888888889	3.0736111111111	17497	France	294	EU
Pontypool	United Kingdom	51.703	-3.041		Condeixa-a-Nova Municipality	40.116666666667	-8.5		Portugal	1355	EU
Corsham	United Kingdom	51.43	-2.19		Jargeau	47.864722222222	2.125	4499	France	503	EU
Broadstairs	United Kingdom	51.358880555556	1.4394388888889		Wattignies	50.585	3.0430555555556	14179	France	141	EU
Faringdon	United Kingdom	51.657	-1.586		Le Mêle-sur-Sarthe	48.511111111111	0.35472222222222	758	France	376	EU
Workington	United Kingdom	54.6365	-3.5549		Val-de-Reuil	49.274444444444	1.2102777777778	12969	France	679	EU
Letchworth	United Kingdom	51.978	-0.23		Chagny	46.910555555556	4.7533333333333	5669	France	668	EU
Holton-le-Clay	United Kingdom	53.5055	-0.058516		Sargé-lès-le-Mans	48.033611111111	0.24027777777778	3658	France	609	EU
Chepstow	United Kingdom	51.641944444444	-2.675		Cormeilles	49.248055555556	0.3775	1151	France	343	EU
Malmesbury	United Kingdom	51.5848	-2.0996		Gien	47.698055555556	2.625	14624	France	550	EU
Buckingham	United Kingdom	52	-1		Joinville	48.4425	5.1380555555556	3443	France	589	EU
Lowestoft	United Kingdom	52.48	1.75		Plaisir	48.817777777778	1.9463888888889	31753	France	407	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Sesimbra Municipality	38.433333333333	-9.1		Portugal	1484	EU
Bristol	United Kingdom	51.45	-2.5833333333333	442500	Porto	41.15	-8.6	237591	Portugal	1234	EU
Fordingbridge	United Kingdom	50.9275	-1.7901		Vimoutiers	48.9275	0.19777777777778	3569	France	264	EU
Ferndown	United Kingdom	50.78144	-1.88169		Segré	47.686388888889	-0.8725	6925	France	352	EU
Ipplepen	United Kingdom	50.489	-3.642		Soliers	49.134722222222	-0.29527777777778	2164	France	283	EU
Sudbury	United Kingdom	52.0417	0.72815		Clermont	49.378888888889	2.4125	10714	France	319	EU
Stourport-on-Severn	United Kingdom	52.341819444444	-2.2762388888889		Villeneuve-le-Roi	48.734444444444	2.4108333333333	20481	France	520	EU
Cockermouth	United Kingdom	54.6613	-3.362		Marvejols	44.553333333333	3.29	4907	France	1221	EU
Wells	United Kingdom	51.209166666667	-2.6508333333333		Paray-le-Monial	46.451111111111	4.1194444444444	9064	France	724	EU
Canterbury	United Kingdom	51.278333333333	1.0775	55240	Wimereux	50.769722222222	1.61	7010	France	68	EU
Lichfield	United Kingdom	52.6835	-1.82653		Sainte-Foy-lès-Lyon	45.733611111111	4.8025	21646	France	910	EU
Brackley	United Kingdom	52.032	-1.147		Les Pavillons-sous-Bois	48.905833333333	2.5105555555556	22680	France	433	EU
Wimborne Minster	United Kingdom	50.804	-1.978		Valognes	49.509166666667	-1.4691666666667	6807	France	148	EU
Hebden Bridge	United Kingdom	53.742	-2.009		Saint-Pol-sur-Ternoise	50.379166666667	2.3347222222222	5081	France	477	EU
Bovey Tracey	United Kingdom	50.593	-3.672		Le Molay-Littry	49.2425	-0.87305555555556	3093	France	250	EU
Lanark	United Kingdom	55.6749	-3.77702		Yvetot	49.616944444444	0.75305555555556	11849	France	739	EU
Bodmin	United Kingdom	50.466	-4.718		Le Relecq-Kerhuon	48.408611111111	-4.3969444444444	11323	France	230	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Granville	48.838055555556	-1.5869444444444	13104	France	244	EU
Radlett	United Kingdom	51.682	-0.314		Louveciennes	48.860277777778	2.1163888888889	7054	France	358	EU
Inverness	United Kingdom	57.483888888889	-4.2258333333333		Saint-Valery-en-Caux	49.863055555556	0.70694444444444	4254	France	907	EU
